PubChem_CID,Name,Base_Rank,Alt_1_Rank,Alt_2_Rank
5281711,Terminalin,1.0,1.0,1.0
441913,"[(1'S,3'R,4'R,5'R,6'R,10'S,12'S,16'R,18'S,21'R)-2-Hydroxy-1,4',6',12',17',17'-hexamethyl-18'-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyspiro[3,6-dioxabicyclo[3.1.0]hexane-4,8'-9-oxahexacyclo[11.9.0.01,21.04,12.05,10.016,21]docos-13-ene]-3'-yl] acetate",2.0,2.0,4.0
11227154,Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside),5.0,17.0,3.0
5271805,Ginkgetin,6.0,11.0,8.0
11157896,Delphinidin 3-O-(6-caffeoyl-beta-D-glucoside),8.0,33.0,2.0
441862,Labriformin,9.0,5.0,11.0
5281600,Amentoflavone,12.0,13.0,10.0
15922818,Delphinidin-3-O-(6-p-coumaroyl)glucoside,13.0,48.0,7.0
5281694,Robustaflavone,14.0,16.0,23.0
442428,Naringin,15.0,20.0,14.0
83489,Eriocitrin,18.0,23.0,17.0
5281627,Hinokiflavone,23.0,18.0,36.0
5281833,Atalanine,24.0,19.0,37.0
441760,Staphidine,25.0,8.0,55.0
114652,Convalloside,28.0,38.0,25.0
5282067,"[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",33.0,54.0,22.0
114627,Neoeriocitrin,34.0,43.0,30.0
23724733,Pelargonidin 3-(6-p-coumaroyl)glucoside,39.0,53.0,35.0
124025,Procyanidin A2,40.0,34.0,38.0
23724734,Cyanidin 3-(6-p-caffeoyl)glucoside,44.0,65.0,24.0
