Ligand_Rank,PubChem_CID,Name,Docking_Energy,RMSD_lb,Composite_Score
1.0,5281711,Terminalin,-9.4,0.0,2.924165461520435
2.0,441913,"[(1'S,3'R,4'R,5'R,6'R,10'S,12'S,16'R,18'S,21'R)-2-Hydroxy-1,4',6',12',17',17'-hexamethyl-18'-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyspiro[3,6-dioxabicyclo[3.1.0]hexane-4,8'-9-oxahexacyclo[11.9.0.01,21.04,12.05,10.016,21]docos-13-ene]-3'-yl] acetate",-9.3,0.0,2.712072942528433
3.0,11227154,Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside),-8.7,0.0,2.681790456278454
4.0,5271805,Ginkgetin,-9.2,0.0,2.679795558587917
5.0,11157896,Delphinidin 3-O-(6-caffeoyl-beta-D-glucoside),-8.4,0.0,2.6678819942666316
6.0,441862,Labriformin,-9.4,0.0,2.6409134074511833
7.0,5281600,Amentoflavone,-9.1,0.0,2.631564694453659
8.0,15922818,Delphinidin-3-O-(6-p-coumaroyl)glucoside,-8.4,0.0,2.5924355652628206
9.0,5281694,Robustaflavone,-9.0,0.0,2.5766309211138445
10.0,442428,Naringin,-8.8,0.0,2.570275166925242
11.0,83489,Eriocitrin,-8.7,0.0,2.5589099047262054
12.0,5281627,Hinokiflavone,-9.0,0.0,2.547523427314161
13.0,5281833,Atalanine,-8.9,0.0,2.535433972586618
14.0,441760,Staphidine,-9.6,0.0,2.5225057617917166
15.0,114652,Convalloside,-8.6,0.0,2.5204289176828674
16.0,5282067,"[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",-8.4,0.0,2.5169891362590096
17.0,114627,Neoeriocitrin,-8.6,0.0,2.514700305291426
18.0,23724733,Pelargonidin 3-(6-p-coumaroyl)glucoside,-8.5,0.0,2.4953812627591843
19.0,124025,Procyanidin A2,-8.7,0.0,2.486661968198246
20.0,23724734,Cyanidin 3-(6-p-caffeoyl)glucoside,-8.2,0.0,2.4825680185831898
21.0,5282150,Rhoifolin,-8.6,0.0,2.4660735376204417
22.0,441870,Scillaren A,-8.6,0.0,2.46399912833329
23.0,31116,Ergocristine,-9.0,0.0,2.414235371926164
24.0,442454,Pinocembrin 7-rhamnosylglucoside,-8.6,0.0,2.4039701004187903
25.0,5281386,C-Curarine,-9.5,0.0,2.403635250394339
26.0,442456,Poncirin,-8.5,0.0,2.401088404260924
27.0,5282153,Luteolin 7-diglucuronide,-8.1,0.0,2.3985050639671917
28.0,5281256,Isobutrin,-8.2,0.0,2.3825877572405614
29.0,5282152,Scolymoside,-8.3,0.0,2.3555649026468113
30.0,123953,Naadp,-7.8,0.0,2.3444261665968105
31.0,442431,Narirutin,-8.4,0.0,2.3376710648799395
32.0,442682,Gallocatechin-(4alpha->8)-epigallocatechin,-8.1,0.0,2.319416217820698
33.0,5281599,Agathisflavone,-8.5,0.0,2.301962054414769
34.0,442439,Neohesperidin,-8.2,0.0,2.2927246040683
35.0,442762,Physcion 8-gentiobioside,-8.2,0.0,2.290639700866535
36.0,5281613,Diosmin,-8.2,0.0,2.2854830834086783
37.0,23724703,delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside-3'-O-beta-D-glucoside,-7.1,0.0,2.285186528285027
38.0,10621,Hesperidin,-8.2,0.0,2.2798555953822577
39.0,176079,Calenduloside E,-8.4,0.0,2.26744681714537
40.0,147299,Procyanidin B4,-8.2,0.0,2.263619786287877
41.0,23724737,Cyanidin-3-O-(6''-O-malonyl-2''-O-glucuronyl)glucoside,-7.1,0.0,2.252768016849341
42.0,442125,Decuroside III,-8.3,0.0,2.247642028118478
43.0,5281609,Cupressuflavone,-8.4,0.0,2.2470282810749542
44.0,155008,Aurasperone D,-8.5,0.0,2.246992616890762
45.0,441861,Labriformidin,-8.8,0.0,2.246661055030876
46.0,442728,Cassiamin C,-8.6,0.0,2.229525902684959
47.0,442098,"[(1R,2R,6R,10S,11R,15R,17R)-13-benzyl-6-hydroxy-4,17-dimethyl-5-oxo-15-(prop-1-en-2-yl)-12,14,18-trioxapentacyclo[11.4.1.0^{1,10}.0^{2,6}.0^{11,15}]octadeca-3,8-dien-8-yl]methyl 2-(4-hydroxyphenyl)acetate",-8.5,0.0,2.2203781402366904
48.0,5280803,Malonylapiin,-7.8,0.0,2.216370189749392
49.0,11953903,Bougainvillein-r-I,-7.6,0.0,2.2111175585003746
50.0,442105,Hodgkinsine,-8.8,0.0,2.2094826317649674
51.0,442677,"(2S,3S)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chroman-4-yl]chromane-3,5,7-triol",-8.1,0.0,2.2086860129480623
52.0,156680,Gambiriin C,-8.2,0.0,2.207182266461056
53.0,3663,Hypericin,-8.5,0.0,2.205591997099379
54.0,440585,Berbamunine,-8.4,0.0,2.2047502421218583
55.0,441902,"(1S,3R,6S,7S,8R,11S,12S,16R)-7,12,16-Trimethyl-15-[(1S)-1-[(2S)-5-methyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypentacyclo[9.7.0.01,3.03,8.012,16]octadecane-7-carboxylic acid",-8.2,0.0,2.20359535065913
56.0,5280746,Apiin,-8.1,0.0,2.1990446989354506
57.0,5492231,Delphinidin 3-rutinoside,-7.5,0.0,2.1838623154879513
58.0,164630,Butrin,-8.0,0.0,2.183103958576909
59.0,60838,Irinotecan,-8.6,0.0,2.1640023378831597
60.0,441688,Cyanin,-7.4,0.0,2.1497003097722605
61.0,5281246,Citroxanthin,-8.5,0.0,2.146106514632841
